문제번호,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,중간평가,2.5,2단계,객관식,중,어휘,명사
2,중간평가,2.5,3단계,객관식,중,어휘,부사
3,중간평가,2.5,3단계,객관식,중,어휘,형용사
4,중간평가,2.5,4단계,객관식,중,어휘,명사
5,중간평가,2.5,4단계,객관식,중,어휘,동사
6,중간평가,2.5,4단계,객관식,중,어휘,형용사
7,중간평가,2.5,2단계,객관식,중,문법,조사
8,중간평가,2.5,2단계,객관식,중,문법,연결 표현
9,중간평가,2.5,3단계,객관식,중,문법,종결 표현
10,중간평가,2.5,3단계,객관식,중,문법,연결 표현
11,중간평가,2.5,3단계,객관식,중,문법,종결 표현
12,중간평가,2.5,4단계,객관식,중,문법,연결 표현
13,중간평가,2.5,4단계,객관식,중,문법,연결 표현
14,중간평가,2.5,4단계,객관식,중,문법,종결 표현
15,중간평가,2.5,4단계,객관식,중,문법,종결 표현
16,중간평가,2.5,4단계,객관식,중,문법,종결 표현
17,중간평가,2.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
18,중간평가,2.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
19,중간평가,2.5,2단계,객관식,중,읽기,세부 내용 파악
20,중간평가,2.5,3단계,객관식,중,읽기,세부 내용 파악
21,중간평가,2.5,4단계,객관식,중,읽기,세부 내용 파악
22,중간평가,2.5,4단계,객관식,중,읽기,핵심 내용 파악
23,중간평가,2.5,2단계,객관식,중,문화,문화 정보
24,중간평가,2.5,2단계,객관식,중,문화,문화 정보
25,중간평가,2.5,3단계,객관식,중,문화,문화 정보
26,중간평가,2.5,3단계,객관식,중,문화,문화 정보
27,중간평가,2.5,4단계,객관식,중,문화,문화 관점
28,중간평가,2.5,4단계,객관식,중,문화,문화 행동
29,중간평가,5.0,4단계,작문형,중,"3,4단계 담화",담화구성(작문)
30,중간평가,5.0,4단계,작문형,중,"3,4단계 담화",담화구성(작문)
