문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역
1,1,1,1.5,1,1,15,01
2,15,1,1.5,1,1,15,02
3,4,1,1.5,1,1,15,01
4,3,1,1.5,1,1,15,01
5,7,1,1.5,2,1,15,01
6,6,1,1.5,2,1,15,01
7,5,1,1.5,2,1,15,01
8,8,1,1.5,2,1,15,01
9,10,1,1.5,3,1,15,01
10,11,1,1.5,3,1,15,01
11,9,1,1.5,3,1,15,01
12,12,1,1.5,4,1,15,01
13,14,1,1.5,4,1,15,01
14,13,1,1.5,4,1,15,01
15,16,1,1.5,1,1,15,02
16,17,1,1.5,1,1,15,02
17,2,1,1.5,1,1,15,02
18,19,1,1.5,2,1,15,02
19,18,1,1.5,2,1,15,02
20,20,1,1.5,2,1,15,02
21,24,1,1.5,3,1,15,02
22,21,1,1.5,3,1,15,02
23,22,1,1.5,3,1,15,02
24,23,1,1.5,3,1,15,02
25,28,1,1.5,4,1,15,02
26,27,1,1.5,4,1,15,02
27,25,1,1.5,4,1,15,02
28,26,1,1.5,4,1,15,02
29,29,1,1.5,1,1,15,03
30,30,1,1.5,2,1,15,03
31,32,1,1.5,3,1,15,03
32,31,1,1.5,3,1,15,03
33,33,1,1.5,4,1,15,03
34,34,1,1.5,1,1,15,04
35,36,1,1.5,2,1,15,04
36,35,1,1.5,2,1,15,04
37,37,1,1.5,3,1,15,04
38,38,1,1.5,4,1,15,04
39,40,1,1.5,1,1,15,08
40,39,1,1.5,1,1,15,08
41,42,1,1.5,2,1,15,08
42,41,1,1.5,2,1,15,08
43,43,1,1.5,3,1,15,08
44,44,1,1.5,3,1,15,08
45,45,1,1.5,3,1,15,08
46,47,1,1.5,4,1,15,08
47,48,1,1.5,4,1,15,08
48,46,1,1.5,4,1,15,08
49,50,1,1.5,4,2,15,03
50,49,1,1.5,4,2,15,03
